Rank,Name,Symbol,Price,1h % Change,24h % Change,7d % Change,Market Cap,Volume (24h),Volume (24h) (Coins),Circulating Supply
1,Bitcoin,BTC,"$57,230.39",0.47%,2.06%,3.42%,"$1.13T$1,128,587,267,836","$28,359,008,651","495,624 BTC","19,720,071 BTC"
2,Ethereum,ETH,"$3,072.25",0.49%,2.03%,4.28%,"$369.32B$369,319,559,476","$15,275,579,493","4,968,825 ETH","120,211,238 ETH"
3,Tether,USDT,$1.00,0.00%,0.02%,0.03%,"$112.38B$112,383,033,880","$53,274,191,875","53,242,366,428 USDT","112,368,902,073 USDT"
4,BNB,BNB,$521.17,0.61%,2.46%,8.67%,"$76.92B$76,915,991,013","$1,721,691,372","3,303,492 BNB","147,582,407 BNB"
5,Solana,SOL,$135.49,0.95%,5.45%,4.91%,"$62.99B$62,992,097,854","$2,524,638,979","18,633,221 SOL","463,956,019 SOL"
6,USDC,USDC,$1.00,0.00%,0.02%,0.01%,"$33.97B$33,972,788,952","$6,000,174,901","5,999,969,834 USDC","33,971,627,873 USDC"
7,XRP,XRP,$0.4732,1.35%,4.74%,14.24%,"$26.41B$26,407,756,149","$1,541,859,479","3,258,284,845 XRP","55,805,339,473 XRP"
8,Toncoin,TON,$7.22,0.54%,0.73%,5.11%,"$18.11B$18,111,196,180","$271,960,373","37,643,042 TON","2,506,837,686 TON"
9,Dogecoin,DOGE,$0.1058,0.66%,3.29%,6.36%,"$15.35B$15,349,046,403","$579,264,089","5,475,384,558 DOGE","145,083,966,384 DOGE"
10,Cardano,ADA,$0.3992,0.14%,1.15%,16.05%,"$14.32B$14,320,584,113","$349,618,322","875,899,851 ADA","35,877,403,185 ADA"
11,TRON,TRX,$0.1362,0.40%,1.41%,8.88%,"$11.87B$11,869,939,642","$357,085,648","2,621,266,226 TRX","87,133,918,843 TRX"
12,Avalanche,AVAX,$25.04,0.60%,2.47%,4.22%,"$9.88B$9,876,854,964","$291,434,354","11,637,632 AVAX","394,405,119 AVAX"
13,Shiba Inu,SHIB,$0.00001588,0.48%,4.61%,15.41%,"$9.36B$9,358,627,856","$238,885,814","15,041,566,418,196 SHIB","589,270,749,097,351 SHIB"
14,Polkadot,DOT,$5.84,0.50%,4.54%,5.96%,"$8.4B$8,402,143,283","$157,786,617","27,003,801 DOT","1,437,953,431 DOT"
15,Chainlink,LINK,$12.41,0.55%,3.76%,4.92%,"$7.55B$7,547,113,030","$340,525,192","27,513,643 LINK","608,099,970 LINK"
16,Bitcoin Cash,BCH,$347.73,0.53%,1.47%,12.80%,"$6.86B$6,861,356,895","$287,428,342","827,756 BCH","19,731,800 BCH"
17,Dai,DAI,$0.9999,0.01%,0.01%,0.02%,"$5.35B$5,347,380,348","$358,264,003","358,258,490 DAI","5,347,888,596 DAI"
18,UNUS SED LEO,LEO,$5.68,1.25%,0.19%,0.13%,"$5.26B$5,264,277,943","$2,130,873","374,662 LEO","926,013,833 LEO"
19,NEAR Protocol,NEAR,$4.80,0.55%,0.04%,11.49%,"$5.27B$5,265,271,267","$344,825,763","71,957,936 NEAR","1,096,844,392 NEAR"
20,Litecoin,LTC,$68.78,0.26%,1.38%,15.40%,"$5.14B$5,140,779,942","$309,213,447","4,495,001 LTC","74,741,294 LTC"
